image_path,temperature,humidity,ph,nutrients
dataset\images\plant_0.png,29.502171737186977,47.157686577036145,6.0470291928541435,258.97908903009534
dataset\images\plant_1.png,23.968601133377206,44.907167115387466,5.919032025423139,774.4077365661295
dataset\images\plant_2.png,28.105405598677976,54.65587908711946,5.548604705742446,786.9790122484233
dataset\images\plant_3.png,21.929107022942542,60.596901728436706,5.92453039674074,528.9967746957768
dataset\images\plant_4.png,27.166145361793244,60.97492487043671,6.311264317323875,158.3387829818898
dataset\images\plant_5.png,19.304886265497505,66.82940467408443,5.775064626856104,556.8616086747575
dataset\images\plant_6.png,23.08541156426015,48.50489526617789,6.016234424380511,787.0288901333253
dataset\images\plant_7.png,29.673609278958914,56.86025873044994,6.253847626078182,198.88229691334664
dataset\images\plant_8.png,27.90377718701927,46.51277457958265,6.01471609133224,796.2147490271827
dataset\images\plant_9.png,21.47892568828631,55.77402270328218,5.875225926860136,595.515479126284
dataset\images\plant_10.png,26.860546769988332,56.7656568899946,6.004609143008844,591.1898453338024
dataset\images\plant_11.png,26.6027457218229,64.4127666288208,5.532129221381473,476.9652810889096
dataset\images\plant_12.png,20.74646443203029,54.827182638340716,6.400083227377355,322.16259372722914
dataset\images\plant_13.png,18.597941100104133,49.49846147962742,6.302920011454419,394.0801723377076
dataset\images\plant_14.png,18.432803110510473,49.51212173857336,6.408497571213619,583.9660720714458
dataset\images\plant_15.png,20.676831365399305,44.05996977327905,6.006884899004779,735.4310613948817
dataset\images\plant_16.png,22.837382041997614,61.986273499509906,5.575404339455964,747.1403677108046
dataset\images\plant_17.png,22.7794845805858,57.48006082152048,6.498513338722167,202.06205604953598
dataset\images\plant_18.png,25.18445559649217,49.17668897173947,6.139281180696259,820.0359650571664
dataset\images\plant_19.png,26.00902407241094,48.34208821465412,6.038676644572115,939.5958251608827
dataset\images\plant_20.png,27.547931369302578,52.992051117754016,6.043312505884851,565.88719320209
dataset\images\plant_21.png,20.502764080667934,56.980523175464356,6.190418011957865,233.69352736708686
dataset\images\plant_22.png,18.11370828820754,61.1334166386677,5.620304070222721,875.7134048528593
dataset\images\plant_23.png,18.746606752382323,57.1966708979718,5.893880927222259,998.6945468989431
dataset\images\plant_24.png,24.932912129125377,66.90378673412,6.139335510065274,206.7767998467462
dataset\images\plant_25.png,25.333704551230877,48.853538179505954,6.363693115161188,917.5529161690587
dataset\images\plant_26.png,25.41502877903592,54.062540133748286,5.835219564876015,448.86998494040296
dataset\images\plant_27.png,27.39826129957529,68.77533450813824,6.098880763644609,535.607006694836
dataset\images\plant_28.png,20.20188365122459,51.58431480172165,6.310303203873011,434.06145879800886
dataset\images\plant_29.png,26.639964507903024,52.72357441503493,5.781015311230718,408.8374518842056
dataset\images\plant_30.png,18.85115408441,45.35824812319448,5.926027549236344,260.94697524014197
dataset\images\plant_31.png,20.973358892295312,43.43401687919918,6.346009109751065,235.60932351747223
dataset\images\plant_32.png,29.676372980163507,47.42576066682375,5.9982484293392515,673.0473918787008
dataset\images\plant_33.png,25.684278807660256,49.51557317822088,6.40543627267671,256.332640335481
dataset\images\plant_34.png,29.941611672981935,65.37135569514204,6.270846652674058,466.02170575495825
dataset\images\plant_35.png,25.650633613115538,63.915315500108335,5.790020672656667,279.8502125377013
dataset\images\plant_36.png,29.40491792131119,55.13990443064982,6.189449937194117,651.5211659288497
dataset\images\plant_37.png,20.69086893271348,59.093859391929286,6.492912085718291,291.2191056367591
dataset\images\plant_38.png,18.038343305641543,41.1915303867149,5.929838273770878,136.37351946315755
dataset\images\plant_39.png,28.658708488745674,65.43262566058361,6.322216772495265,253.15884740106628
dataset\images\plant_40.png,24.549787984932323,63.02301670103404,5.873574331474835,525.5843054618697
dataset\images\plant_41.png,19.10947033396886,41.480650675295465,5.523881053258114,419.92506640566313
dataset\images\plant_42.png,24.661256902307887,48.977130300397675,6.241655842165728,536.9500339598123
dataset\images\plant_43.png,19.408735704366574,63.424960684649776,6.045976501963313,949.9221135531553
dataset\images\plant_44.png,19.101046859363464,49.181510801507,6.379112050378354,885.3642062753087
dataset\images\plant_45.png,21.130751617006233,66.88672286292024,6.0633386353406555,590.6455913543571
